"CCG_CODE","ONS_CCG_CODE","TOTAL_ALL","TOTAL_MALE","TOTAL_FEMALE","MALE_0-4","MALE_5-9","MALE_10-14","MALE_15-19","MALE_20-24","MALE_25-29","MALE_30-34","MALE_35-39","MALE_40-44","MALE_45-49","MALE_50-54","MALE_55-59","MALE_60-64","MALE_65-69","MALE_70-74","MALE_75-79","MALE_80-84","MALE_85-89","MALE_90-94","MALE_95+","FEMALE_0-4","FEMALE_5-9","FEMALE_10-14","FEMALE_15-19","FEMALE_20-24","FEMALE_25-29","FEMALE_30-34","FEMALE_35-39","FEMALE_40-44","FEMALE_45-49","FEMALE_50-54","FEMALE_55-59","FEMALE_60-64","FEMALE_65-69","FEMALE_70-74","FEMALE_75-79","FEMALE_80-84","FEMALE_85-89","FEMALE_90-94","FEMALE_95+"
"00C","E38000042",107513,53236,54277,3116,3293,3199,2910,2919,3284,3426,3448,3463,4002,4097,3568,3169,3110,2309,1736,1236,645,260,46,2925,3166,2933,2921,2944,3495,3394,3313,3457,3852,3982,3685,3051,3259,2442,2119,1595,1048,548,148
"00D","E38000047",290161,144164,145997,7883,8499,8032,8326,8258,8751,8738,8306,8819,10858,11329,10284,9096,9296,6873,5064,3349,1709,580,114,7368,8030,7722,7805,8074,8755,8490,8229,8861,10741,11270,10314,9105,9474,7334,5705,4373,2764,1212,371
"00J","E38000116",253911,125574,128337,6603,6768,6321,7515,10924,8618,7975,7279,7625,9071,9260,8072,7479,7454,5753,4189,2696,1394,477,101,6132,6621,5920,7598,11717,8125,7690,7239,7514,8957,9067,8316,7449,7857,6032,4887,3604,2232,1058,322
"00K","E38000075",295248,146354,148894,8881,9489,8541,8722,9497,9958,9635,8857,9054,10617,10901,10066,8485,8257,5778,4357,3075,1565,511,108,8287,9158,8178,8297,9379,9676,9679,8933,8851,10504,11157,10074,8593,8530,6228,5301,4096,2560,1113,300
"00L","E38000130",322944,158606,164338,7939,8723,8700,8792,8439,8669,8445,8366,9507,11254,12336,11857,11294,11814,8824,6139,4306,2220,832,150,7446,8164,8189,8343,7946,8452,8664,8684,9719,11750,12851,12467,11469,12432,9302,7229,5443,3547,1714,527
"00M","E38000162",294315,147625,146690,9090,9348,8488,8411,10144,10913,10243,9057,9028,10051,10741,9766,8241,8103,5993,4642,3045,1663,555,103,8461,8968,8015,8240,9582,10118,9685,8347,8333,9877,10580,9601,8466,8403,6475,5457,4026,2565,1146,345
"00N","E38000163",155989,78186,77803,4236,4348,4007,4157,4981,5479,5240,4962,4986,5901,6093,5631,4765,4621,3219,2484,1750,950,316,60,4001,4223,3841,4019,4404,5145,5099,4563,4560,5384,5890,5573,4733,4699,3515,3050,2472,1638,768,226
"00P","E38000176",284028,141850,142178,7536,8102,7373,7917,9297,10310,9805,8805,8984,10786,10712,10092,8444,8184,5721,4500,3098,1619,457,108,7099,7793,7145,7493,9303,9791,9051,8342,8636,10165,10242,9746,8504,8632,6370,5423,4370,2633,1125,315
"00Q","E38000014",172525,87538,84987,6022,6223,6000,5808,5872,6169,6449,6061,5975,6402,5809,5068,4293,4031,2838,2069,1410,731,258,50,5678,6111,5658,5453,5391,6117,6163,5540,5474,5841,5421,4819,4185,3955,3045,2375,1796,1206,589,170
"00R","E38000015",171988,87007,84981,4724,4657,4543,4715,4995,5903,5552,5156,5470,6836,7160,6168,5072,5156,4109,3093,2077,1128,414,79,4455,4520,4226,4601,5067,5684,5322,4631,4965,6109,6395,5468,4813,5207,4260,3558,2782,1798,848,272
"00T","E38000016",303689,153196,150493,10074,10645,9784,9496,9263,10495,10807,10227,10511,11506,10822,9125,7908,7991,5885,4212,2555,1306,491,93,9583,10091,8972,8703,8953,10761,10507,9475,9600,10636,10287,8813,7649,8206,6267,4782,3458,2290,1115,345
"00V","E38000024",201046,100194,100852,6473,6645,6220,5753,5731,6654,6865,6582,6710,7457,7646,6418,5266,5597,4112,2880,1850,928,335,72,6022,6411,5752,5514,5599,6708,6936,6515,6464,7260,7294,6131,5413,5680,4412,3469,2614,1617,782,259
"00W","E38000032",230368,121903,108465,7585,7620,6564,7397,13088,12750,12614,11608,9589,8639,7135,5456,3783,2732,1867,1575,1128,543,182,48,7254,7109,6298,7611,15168,11705,10435,8536,6567,6176,5385,4125,3135,2470,1973,1820,1382,852,360,104
"00X","E38000034",180333,89806,90527,5309,5419,4989,4854,4743,5481,5671,5661,6099,6984,7039,5988,5244,5733,4323,3033,1864,938,363,71,5001,5085,4734,4649,4713,5751,5735,5506,5946,6848,6819,5831,5307,5801,4495,3409,2387,1489,778,243
"00Y","E38000135",250193,125081,125112,8698,9151,8560,8129,7660,8649,8818,8310,8385,9214,8656,7422,6294,6122,4402,3337,1942,943,325,64,8486,9018,8222,7603,7584,9001,8752,8067,7656,8391,8276,6990,6214,6430,5005,3827,2740,1804,777,269
"01A","E38000050",376425,188628,187797,11624,12380,11508,11319,11060,12509,12482,11617,12195,14075,13835,12133,10699,11171,8070,5574,3606,1972,661,138,11335,11866,10820,10522,10827,12557,12325,11288,11601,13248,12974,11957,10362,11235,8444,6194,4843,3296,1563,540
"01C","E38000056",206888,102374,104514,5437,5932,5558,5470,4699,5409,5612,6244,6880,8010,8314,7248,6352,6858,5343,3869,2767,1613,608,151,5101,5496,5288,5193,4399,5313,5798,6215,6739,8103,8194,7042,6257,7221,5833,4517,3611,2511,1244,439
"01D","E38000080",228854,114875,113979,7625,8117,7217,6946,6945,8041,8180,7770,7740,8604,8252,7047,6235,5914,4075,2936,1837,967,364,63,7297,7580,6780,6744,6894,8252,8254,7409,7135,7880,7546,6940,6119,5925,4456,3436,2582,1753,764,233
"01E","E38000065",211709,106315,105394,6237,6635,6009,6231,8127,7583,7514,7096,7222,7756,7807,6516,5541,5271,4058,2973,2169,1087,399,84,6048,6373,5709,6003,8470,7588,7076,6428,6466,7320,7401,6388,5366,5469,4191,3509,2697,1763,885,244
"01F","E38000068",130229,65057,65172,3962,4052,3898,3812,3904,4395,4498,4176,4411,4888,4865,4210,3779,3899,2549,1795,1124,605,203,32,3752,4020,3664,3689,3842,4439,4332,4044,4231,4646,4717,4353,3929,3962,2603,1993,1551,893,401,111
"01G","E38000143",263906,134234,129672,8892,8968,7207,7135,9523,12154,12334,10341,8861,9317,9057,7619,5947,5838,4219,3177,2113,1075,381,76,8659,8258,6911,7273,10097,12132,11213,8770,7821,8190,7952,6990,5560,5853,4528,3748,2810,1749,868,290
"01H","E38000041",522121,259954,262167,12750,13878,13499,14281,14547,15015,14681,13981,15527,19148,20880,19331,17023,18542,14157,10335,7028,3736,1344,271,12154,13115,12722,13501,13453,14480,14314,13517,15372,19465,20359,18755,17139,18838,14540,11776,8982,5943,2886,856
"01J","E38000091",162766,80612,82154,5046,4974,4655,4850,5333,5912,5673,4960,4963,5907,6460,5932,4637,3847,2594,2274,1570,798,194,33,4623,4698,4454,4799,5335,6145,5723,4837,4746,5901,6333,5734,4653,4068,3023,2840,2236,1316,562,128
"01K","E38000093",159297,79147,80150,4079,4313,3944,5274,7383,5260,5020,4623,4651,5386,5614,4990,4301,4683,3657,2677,1887,993,347,65,3997,3995,3747,5266,7777,4876,4831,4336,4374,5202,5468,4978,4414,4839,3838,3112,2455,1628,778,239
"01M","E38000123",208093,106902,101191,7813,7895,6490,5997,6975,10163,10199,8954,7890,7623,6795,5501,4318,3706,2524,1892,1267,604,232,64,7486,7530,6382,5709,7694,10724,9505,7641,6200,6094,5652,4978,3745,3541,2692,2282,1679,1042,465,150
"01N","E38000158",173442,87676,85766,5490,5441,4543,4942,8392,7999,8349,7306,6204,5994,5412,4689,3817,3302,2238,1536,1086,634,227,75,5322,5239,4453,4975,8977,8255,8088,6415,5220,5086,4917,4144,3548,3332,2379,1895,1572,1155,588,206
"01R","E38000151",181404,90468,90936,4992,5445,4950,5065,5394,5690,5678,5378,5843,6949,7268,6059,5244,5415,4331,3150,2032,1121,390,74,4613,5077,4746,5012,5315,5440,5526,5225,5874,6896,6816,5901,5123,5790,4628,3480,2563,1810,833,268
"01T","E38000161",154618,76407,78211,4360,4338,4020,4334,4711,5266,5081,4533,4677,5664,6116,5648,4710,4353,3096,2482,1768,882,301,67,4067,4125,3926,4213,4462,5291,5015,4412,4601,5519,6247,5541,4690,4504,3560,3126,2423,1625,656,208
"01V","E38000170",123709,60312,63397,2772,3265,3210,3316,3083,3449,3416,3208,3496,4413,4730,4343,3812,4191,3363,2612,2064,1107,378,84,2665,3007,3053,3131,3001,3390,3191,3187,3629,4410,4773,4547,3995,4491,3959,3309,2679,1808,877,295
"01W","E38000174",308001,152427,155574,9095,9590,8708,8439,8255,9670,9984,10366,10451,11585,11637,9991,8652,8578,6316,4865,3514,1954,671,106,9028,8992,8005,7976,7946,9911,10552,10265,10163,11199,11353,9938,8511,8932,7190,5836,4690,3139,1491,457
"01X","E38000172",195797,97300,98497,5472,5748,5307,5560,5570,6161,6108,5844,6563,7521,7486,6542,5522,6045,4640,3462,2270,1096,334,49,5143,5568,5057,5104,5466,6311,6170,5689,6231,7410,7247,6375,5728,6360,5017,3984,2921,1721,750,245
"01Y","E38000182",245277,121984,123293,7612,7995,6924,6942,7299,8280,8304,7643,7997,9591,9563,8136,6730,6850,4964,3438,2211,1028,391,86,7310,7652,6724,6728,7191,8621,8484,7685,7772,8962,9236,7843,6477,6977,5394,4178,2879,1923,937,320
"02A","E38000187",238840,118634,120206,7333,8054,7358,6840,6252,7272,8273,8512,8726,9177,9035,7568,6109,5891,4366,3406,2543,1360,459,100,6992,7770,7029,6350,5837,7365,8478,8685,8479,8836,8723,7303,6041,6195,5026,4232,3298,2248,992,327
"02D","E38000189",104298,52133,52165,3020,3266,2986,2942,2940,3192,3266,3046,3532,4092,4248,3559,3144,3098,2360,1601,1022,586,203,30,2801,3059,2809,2774,2755,3180,3214,3059,3379,4098,4065,3555,2976,3254,2433,1902,1353,895,478,126
"02E","E38000194",215556,107664,107892,6306,6688,6219,6149,6011,6695,7167,7166,7615,8582,8824,7165,5866,5813,4461,3301,2174,1044,357,61,5915,6430,5941,5853,5758,6893,7259,7046,7149,8335,8366,6838,5797,6039,4886,3958,2638,1737,798,256
"02F","E38000196",260274,128515,131759,6877,7282,6717,7103,7804,8213,7931,7726,8264,9829,10080,8870,7657,7934,6081,4628,3107,1708,576,128,6439,6834,6559,7010,8462,8215,8063,7618,8244,9381,9936,8608,7606,8244,6539,5465,4093,2738,1302,403
"02G","E38000200",112386,55555,56831,2804,3276,3141,3434,3471,3292,3082,2960,3428,4260,4488,3869,3284,3517,2813,2123,1365,676,228,44,2675,2997,2969,3381,3732,3104,3146,2955,3452,4118,4315,3809,3452,3795,3033,2370,1762,1105,502,159
"02H","E38000205",324444,162841,161603,9396,9999,9056,9209,9418,10729,10771,10044,11083,13186,12494,10534,8792,9802,7848,5290,3168,1476,459,87,8804,9410,8655,8524,9265,10689,10546,9623,10454,12407,11783,10154,9003,10091,8176,5954,4118,2474,1130,343
"02M","E38000060",151036,73946,77090,3515,3859,3842,4158,3650,4046,4013,3777,4178,5288,5791,5428,4801,5419,4562,3291,2440,1348,444,96,3304,3712,3609,3719,3542,3991,3872,3740,4261,5356,5854,5611,4952,5750,4926,4053,3191,2246,1085,316
"02N","E38000001",158457,78264,80193,4384,4936,4839,4611,4072,4496,4472,4576,4981,5731,5916,5380,4897,5046,3729,2637,1945,1091,422,103,4186,4628,4421,4298,4049,4526,4451,4518,4985,5684,5883,5429,4879,5214,3991,3202,2643,1875,1011,320
"02P","E38000006",257018,128303,128715,7598,7973,6979,7100,7818,8529,8582,7808,8316,10244,9738,8533,7391,7415,5748,4005,2644,1316,486,80,7431,7398,6707,6807,7537,8545,8263,7582,7987,9781,9586,8522,7340,7405,6152,4675,3526,2196,989,286
"02Q","E38000008",115058,57301,57757,3121,3258,3071,3269,3366,3523,3396,3167,3568,4334,4572,3984,3549,3759,2980,2030,1310,759,237,48,3001,3139,2888,3174,3219,3338,3259,3169,3617,4286,4427,3957,3523,3945,3061,2291,1694,1101,512,156
"02R","E38000019",338969,167866,171103,11635,12626,11411,10291,9926,11317,11937,11784,11079,12049,11667,10403,8762,8317,5348,4199,2886,1530,573,126,11563,11948,11060,10204,9747,12015,12644,11609,10556,11284,11230,10290,8622,8390,6049,5141,4280,2703,1356,412
"02T","E38000025",218898,109013,109885,6725,6977,6607,6559,6264,6907,7082,6951,7373,8573,8415,7261,6153,6114,4493,3091,1939,1032,417,80,6287,6867,6345,5995,6079,7075,7078,6769,7279,8399,8070,7086,6038,6335,4714,3531,2758,1926,961,293
"02V","E38000094",213047,106515,106532,6737,6648,5861,5616,6226,8700,9158,8770,7787,7399,7020,6061,5130,4955,3744,2765,2171,1195,475,97,6433,6432,5460,5560,6499,8876,8698,7787,6943,7147,6880,6081,5089,5280,4153,3367,2755,1900,869,323
"02W","E38000018",125860,66849,59011,5511,5811,5401,4931,6271,6530,7166,6335,4775,3778,2536,2285,2025,1203,674,741,495,263,90,28,5263,5610,5195,4777,6048,5795,5560,4554,3477,3061,2107,1954,1709,1225,771,797,580,351,129,48
"02X","E38000044",315564,157232,158332,9535,9974,8868,8969,9374,10616,10688,9724,9831,11408,11879,10646,9087,8903,6698,4909,3509,1860,641,113,9009,9615,8596,8429,9192,10825,10382,9045,9330,11197,11627,10454,9021,9349,7110,5881,4669,2869,1337,395
"02Y","E38000052",301737,148870,152867,7460,8037,7830,8092,7934,7860,7570,7571,8827,10819,11618,10862,10001,11262,8866,6484,4420,2355,829,173,6732,7596,7547,7833,7248,7618,7607,7654,9458,11107,11614,10706,10355,12007,9324,7224,5496,3496,1701,544
"03A","E38000064",244776,122608,122168,7110,7747,7092,7168,9271,8601,8073,7867,8269,9310,8813,7731,6487,6643,4847,3459,2323,1274,437,86,6880,7427,6797,6821,8854,7997,7848,7619,7993,8860,8548,7454,6462,6899,5242,3992,3106,2099,955,315
"03C","E38000096",369420,184126,185294,10163,9966,8404,10489,21624,18284,15576,13573,12036,12065,11433,9633,8017,7870,5602,4101,3016,1555,586,133,9602,9372,8019,11583,25941,17463,13985,11756,10586,10966,10737,9237,7840,8338,6151,5043,4177,2783,1326,389
"03D","E38000069",143552,70258,73294,3466,3690,3804,3898,3513,3597,3359,3264,3805,4951,5768,5452,4957,5585,4335,3065,2125,1144,398,82,3273,3514,3572,3575,3401,3838,3656,3576,4007,5353,5894,5526,5126,5685,4484,3450,2616,1709,791,248
"03E","E38000073",161342,79641,81701,3913,4566,4501,4406,3833,4284,4440,4804,5260,6361,6616,5923,4864,5067,3973,3023,2113,1169,426,99,3688,4204,4381,4227,3620,4298,4526,4733,5251,6404,6508,5731,4969,5360,4264,3550,2728,1863,1057,339
"03F","E38000085",293696,148617,145079,9689,9454,8065,8562,10916,11341,11324,9976,10300,10771,10610,9223,7684,7398,4895,3838,2649,1390,441,91,9110,9024,7561,8040,11271,11665,10671,8880,8848,9620,9840,8813,7410,7264,5291,4524,3643,2345,977,282
"03G","E38000095",275116,139725,135391,9635,9690,8115,7696,8573,10594,11377,10765,10191,10233,9676,7895,6388,6279,4710,3603,2505,1290,432,78,9208,9358,7868,7431,8572,10490,10349,9301,8513,9241,8623,7550,6231,6570,5112,4285,3309,2124,944,312
"03H","E38000119",168916,84682,84234,4972,5278,4748,4811,4992,5828,5373,4815,5299,6266,6429,5761,4981,5084,3699,2795,2057,1067,342,85,4862,4891,4567,4550,4832,5666,5190,4698,4827,5961,6346,5548,4775,5006,3918,3345,2597,1653,746,256
"03J","E38000121",191083,95835,95248,6350,6958,6446,6103,6050,6491,6892,6707,6503,7197,6310,5480,4809,4723,3439,2549,1683,816,277,52,5993,6595,6186,5936,5838,6844,6827,6260,6131,6661,5989,5264,4626,4909,3715,2925,2199,1453,663,234
"03K","E38000122",172256,86260,85996,4676,5136,4803,4788,5002,5372,5447,4907,5171,6465,6779,6017,5280,5636,4197,3059,1977,1118,362,68,4634,4880,4534,4633,4649,5233,5132,4683,5050,6290,6462,5866,5334,5607,4457,3250,2635,1610,805,252
"03L","E38000141",260127,129365,130762,7587,8324,7490,7612,7894,8447,8248,7779,8282,9934,9718,8460,7332,7459,5835,4250,2730,1371,511,102,7503,7794,7266,7357,7580,8496,8190,7670,8069,9576,9246,8439,7338,7696,6233,4927,3739,2235,1055,353
"03M","E38000145",118927,59216,59711,2952,3159,3071,3388,3310,3504,3406,3056,3407,4224,4456,4271,3893,4216,3404,2428,1678,963,352,78,2725,2956,2887,3055,3064,3400,3053,2908,3320,4098,4475,4265,3985,4459,3601,2867,2139,1493,737,224
"03N","E38000146",588619,298078,290541,17074,17515,15724,18659,29738,24524,21268,19616,19174,21034,19950,16877,13877,13704,10758,8290,5705,3104,1214,273,16217,16689,14952,18208,29009,22077,19737,17447,17020,19167,18387,16063,13678,14065,12070,9806,7672,5024,2379,874
"03Q","E38000188",350041,172007,178034,8614,9276,8712,10179,13461,11806,11007,10864,10872,12497,12715,11333,9653,10272,7889,5617,3984,2221,845,190,8053,8919,8559,10865,15037,11797,10831,10398,10596,12477,12543,11081,9867,10929,8424,6675,5172,3572,1697,542
"03R","E38000190",366060,182958,183102,10896,11227,10102,10132,10906,12375,12690,11467,12240,14540,13925,12111,10244,10411,7953,5528,3683,1793,622,113,10248,10667,9497,9712,10582,12470,12268,10811,11662,13961,13417,11799,10398,10804,8499,6465,4952,3032,1415,443
"03T","E38000099",246527,121772,124755,5982,6667,6090,6515,6517,7004,6628,6189,6646,8229,8783,8486,8123,9535,8083,5511,3854,2064,726,140,5789,6358,5907,6296,6087,6933,6486,6001,6782,8532,9233,8676,8570,9831,8092,6044,4389,2966,1341,442
"03V","E38000037",75569,37732,37837,2650,2748,2250,2052,2120,2700,3022,2777,2536,2822,2867,2437,1900,1673,1238,908,593,295,124,20,2465,2577,2146,2116,2204,2900,3186,2530,2293,2682,2730,2379,1922,1728,1399,1013,792,481,224,70
"03W","E38000051",326108,160711,165397,8695,9506,9308,9882,8272,8831,8728,9099,10211,12324,12598,11228,9866,10384,8312,5898,4185,2353,854,177,8183,9042,8789,8966,7887,9060,9109,9590,10671,12434,12769,11133,9902,10983,8786,6793,5434,3568,1741,557
"03X","E38000058",97417,48744,48673,2801,2824,2558,2668,2868,3151,3046,2955,3268,3806,3914,3314,2757,2911,2260,1665,1105,619,210,44,2584,2515,2419,2539,2755,3205,3113,2826,3126,3799,3788,3171,2760,2976,2383,1841,1420,886,428,139
"03Y","E38000071",102807,51195,51612,2723,2974,2696,2758,3091,3198,3076,2907,3152,4014,4003,3570,3097,3219,2769,1879,1170,633,203,63,2636,2691,2713,2744,2919,3172,3073,2699,3202,3889,3902,3361,3110,3259,2851,2037,1583,1068,523,180
"04C","E38000097",392608,199454,193154,13367,13622,12381,13165,18342,17198,17577,16108,13734,12819,11648,10646,8674,7081,4693,3651,2622,1413,546,167,12766,13089,11554,12869,19993,17137,16184,13511,11894,11573,10707,9867,8167,6936,5100,4438,3438,2358,1172,401
"04D","E38000100",234647,115304,119343,6710,6863,6158,7060,8513,7545,7335,6646,6869,8050,8422,7345,6362,6788,5639,4065,2770,1522,537,105,6380,6463,5813,7105,9225,7848,7491,6791,7002,8281,8424,7362,6484,7112,5954,4468,3337,2341,1087,375
"04E","E38000103",190769,94806,95963,5832,5811,5077,5082,5615,6432,6541,5960,6139,7201,7149,6358,5383,5451,4350,3002,1955,1035,366,67,5587,5693,4841,4866,5592,6682,6318,5853,5832,6952,7042,6181,5436,5513,4691,3470,2632,1751,797,234
"04F","E38000107",286385,143347,143038,10085,10800,9277,8389,7726,9766,11131,12183,11399,10990,9876,8384,6902,6241,4252,2817,1706,1000,360,63,9679,10259,8761,7946,7583,10674,11664,11805,10621,10197,9366,8085,7094,6579,4498,3206,2345,1589,873,214
